ticker,name,year,month,day,text_file_name,future_2,future_3,future_4,future_5,future_6,future_7,future_8,future_9,future_10,future_11,future_12,future_13,future_14,future_15,future_16,future_17,future_18,future_19,future_20,future_21,future_22,future_23,future_24,future_25,future_26,future_27,future_28,future_29,future_30,past_2,past_3,past_4,past_5,past_6,past_7,past_8,past_9,past_10,past_11,past_12,past_13,past_14,past_15,past_16,past_17,past_18,past_19,past_20,past_21,past_22,past_23,past_24,past_25,past_26,past_27,past_28,past_29,past_30
LMT,Lockheed Martin Corp.,2017,10,24,Lockheed Martin Corp._20171024,-5.0968853794772615,-5.038498315110786,-5.0368234715273354,-5.13820229944587,-5.2209533961705965,-4.843611695602063,-4.907191340381015,-4.963709190417805,-4.897967974400104,-4.902487501743043,-4.796425778528736,-4.8360795384219575,-4.851965610074748,-4.882952692793286,-4.863179145279156,-4.870283713591482,-4.8590389871758415,-4.778491633600066,-4.787149021796553,-4.794244774632504,-4.815053164020304,-4.835428182364448,-4.8417899922945695,-4.855213126395891,-4.874817427649013,-4.796419701750851,-4.805193041279881,-4.8154018130531435,-4.82334408081852,-5.560683228254942,-5.715932608168527,-5.011004964863304,-5.08694830053251,-5.164126603212932,-5.163699101819028,-5.116012722782023,-5.169279211316892,-5.221881691907791,-5.265734568442591,-5.275281135073689,-5.299023369751413,-5.333381667499934,-5.354089146783187,-5.383797328129157,-5.410225220776845,-5.399783845532904,-5.426803928795227,-5.392422976036363,-5.352884026990453,-5.376124866753013,-5.396087111153483,-5.386831477921464,-5.3916660274666866,-5.404161073618155,-5.422295474656212,-5.43849129308958,-5.3031521230491565,-5.3074962007540165
GM,General Motors,2017,10,24,General Motors_20171024,-4.130767712728297,-4.3334454483286695,-4.333263218277775,-4.408258452486075,-4.329868000213581,-4.406943266545835,-4.457819444327941,-4.497926819334848,-4.550563553720097,-4.4500877937376915,-4.470129510262434,-4.393160219928721,-4.275727911669868,-4.297708900443647,-4.329415232512651,-4.282292312378206,-4.2962838264640135,-4.236262016913873,-4.2602372189734705,-4.263104719233845,-4.2822064409295,-4.302026058768637,-4.2834781658626495,-4.249485668027738,-4.2504805059885316,-4.267779808995366,-4.278591813800826,-4.295236971126538,-4.2985007003359925,-4.839712134651874,-4.918272087898949,-5.05309634862929,-4.726667445503743,-4.8178275441530936,-4.471420469111645,-4.456216486798625,-4.497635277944573,-4.547676495759227,-4.561850553379834,-4.421308643025487,-4.461109171558137,-4.491096827778706,-4.351297234580256,-4.155883288265715,-4.169096024392925,-4.192919106965288,-4.219540761401638,-4.23931063371703,-4.233372110611269,-4.2563568260980915,-4.278474213853674,-4.299335608570152,-4.318276402639906,-4.3175354613429615,-4.335105917735281,-4.344072124503643,-4.361036786870147,-4.370966559959974
ILMN,Illumina Inc,2017,10,24,Illumina Inc_20171024,-3.789620288052341,-3.9320371600185577,-3.862313391366956,-3.925591739691343,-3.9542868990668176,-4.0206546585305185,-3.9712178139495755,-3.9442488391957884,-3.9753424272740094,-4.021708475405293,-4.057276055627073,-4.096241441550346,-4.13300250188063,-4.141550858080231,-4.173479507097273,-4.170946435584741,-4.198495772249902,-4.217637604820607,-4.238473250479954,-4.237232703546927,-4.259240561049733,-4.126660794400345,-4.1426391793471655,-4.16265803248175,-4.177161847761848,-4.151605755827306,-3.989250651246256,-3.999825838724218,-4.007638684548863,-4.896200691034738,-4.5766762398358765,-4.53618502955496,-4.627041224079687,-4.659101407537441,-4.661265306364477,-4.709476545837525,-4.710215488656081,-4.762830637308965,-4.767445624016403,-4.745214046910988,-4.782559493172964,-4.7264513987734516,-4.759176799876443,-4.732163898847558,-4.759512225359303,-4.785482291654429,-4.793253864423939,-4.712902062204142,-4.735218862010539,-4.754956321940383,-4.702505198611546,-4.69462257832188,-4.6056108758866525,-4.61659667033153,-4.634909049492052,-4.629319958038377,-4.6460917338835035,-4.650727588320517
TXN,Texas Instruments,2017,10,24,Texas Instruments_20171024,-5.311094070658378,-4.7844883226807005,-4.7162832095896645,-4.7860264942154,-4.8441065232197,-4.906247981717244,-4.854256497801409,-4.905499214592805,-4.939612461489938,-4.982705929638496,-4.827437630586476,-4.864503115714776,-4.901557045879968,-4.9344328774993755,-4.9620924732407525,-4.867364698004433,-4.8706142787561815,-4.889071656393059,-4.887922187253282,-4.846594847446267,-4.824899678436671,-4.823875655476832,-4.828107693088088,-4.652386342695389,-4.669035024911522,-4.687255541862866,-4.6710170012108865,-4.670782102921368,-4.687608178700832,-5.560813532155851,-4.892583473025772,-4.565770872476151,-4.657039851609852,-4.741866931887748,-4.788083167899577,-4.79800698159684,-4.856317012371561,-4.8947545206142555,-4.937547088532168,-4.9762347353709195,-5.010666435925119,-5.046220495134144,-5.078630941000756,-5.0939451907397375,-5.108256051195013,-5.116111216366897,-5.096440028184724,-5.117525863578198,-5.0336806966395935,-4.85327048411358,-4.873174798858606,-4.80786617992832,-4.824715341284542,-4.810331574247503,-4.779185902066733,-4.796601302065283,-4.79920793674504,-4.8140058952971465
UTX,United Technologies,2017,10,24,United Technologies_20171024,-4.950240821645297,-4.976167562908822,-4.96795602098526,-5.078219575681397,-5.151001274459519,-5.032344506781226,-5.059875492574374,-5.055063095884779,-5.100895316375426,-5.1216340895595165,-4.923157887175972,-4.962018617746585,-4.956821836312918,-4.83735360265581,-4.823486409891097,-4.811583545732708,-4.791749898097388,-4.8187755381396755,-4.8268990351043914,-4.850040630800387,-4.871099400141897,-4.890864029628127,-4.900253231619773,-4.914161622550996,-4.710221953915881,-4.698418552284598,-4.7163670676852485,-4.733261112926394,-4.739285187605975,-5.084645403177946,-5.243202799297103,-5.235712861222991,-5.347041739740504,-5.436362936136503,-5.459888527348864,-5.394868441749284,-5.352928757307895,-5.309577217950271,-5.353164480965258,-5.392346451955796,-5.4191855580894135,-5.442231256464149,-5.4755635699716025,-5.326908608405623,-5.35693326826825,-5.187159336868171,-4.962647488014988,-4.9878065477823625,-4.971567013166736,-4.9928375973598165,-5.014580927812274,-5.034907401279947,-5.042677237864677,-5.0482890227078725,-5.06279711211338,-4.881332843798306,-4.898801085723188,-4.9152253788268565
RF,Regions Financial Corp.,2017,10,24,Regions Financial Corp._20171024,-5.655770196843956,-4.735439074997082,-4.642039192189447,-4.6503964628057775,-4.722576628713799,-4.740873306902229,-4.795645768237519,-4.852879604697988,-4.472436972164357,-4.501507110217323,-4.53727648419112,-4.563777221076045,-4.493328307479171,-4.462894794742716,-4.487119974372427,-4.503376402621372,-4.525570219017504,-4.551250574784475,-4.534273449209112,-4.548213055257171,-4.571463450790898,-4.590994967699854,-4.451042706181494,-4.324682413445971,-4.343972247409097,-4.362777991008305,-4.356371666248768,-4.367020690434149,-4.3765932182910685,-4.453715021642034,-4.656282008237327,-4.786344578884906,-4.575095315987599,-4.633358490379604,-4.65691739630898,-4.650170081099041,-4.66577641811545,-4.662492627266493,-4.619959657727233,-4.658416949177012,-4.633741952041387,-4.659593373534832,-4.6888943029242265,-4.721091737004205,-4.6919590955200965,-4.720195693660869,-4.599084889083192,-4.576068242812355,-4.599615730407241,-4.620852649224979,-4.6344963742495535,-4.638713539719149,-4.650279870314956,-4.615237097630033,-4.6340213693560806,-4.642026776945799,-4.65951620227664,-4.658714002500153
PCAR,PACCAR Inc.,2017,10,24,PACCAR Inc._20171024,-4.25194329355694,-4.296919130674765,-4.100865509683971,-4.108640480507589,-4.1395850349008185,-4.1760140216241375,-4.204897050890868,-4.230611333559982,-4.282032762446905,-4.329661818849524,-4.316102822478495,-4.3534825815268166,-4.390483117854442,-4.4090876070492,-4.434628030617566,-4.358447503732866,-4.144446055865748,-4.13933207487015,-4.164733974888663,-4.187303818102569,-4.1959639839607,-4.218001875876252,-4.1768992650939065,-4.192109816364623,-4.1802135194200005,-4.191389545123992,-4.203235530534245,-4.220581672864719,-4.237477696328499,-4.646378191627698,-4.691367081358171,-4.687841426420314,-4.747358961445334,-4.811127190506412,-4.827029263689932,-4.888185197215182,-4.846096565493259,-4.898729653584942,-4.944344274360608,-4.713194721170492,-4.741306384826821,-4.7506375692001885,-4.737172595897264,-4.7529703754055745,-4.780976228638653,-4.794300077846947,-4.785064012743524,-4.803404419225472,-4.810686855155475,-4.812999868563408,-4.82907147460293,-4.847108688498198,-4.86667315104325,-4.846293357964205,-4.8483028591603325,-4.865929806804559,-4.881290144987291,-4.855033474122197
MCD,McDonald's Corp.,2017,10,24,McDonald's Corp._20171024,-6.105988654472724,-5.474104020410431,-5.5900782643813685,-5.699730708326424,-5.522424536606478,-5.378877325177269,-5.445224968626371,-5.4393087093049015,-5.491987760314501,-5.3903749050377705,-4.905976774584877,-4.8797793868327055,-4.859379822329283,-4.889285586355406,-4.899267516527135,-4.923931470348272,-4.905638240808494,-4.932634983431929,-4.933870012884518,-4.953872601172124,-4.976529037976468,-4.996260101358309,-4.948645779805667,-4.94890143348029,-4.9036458674264285,-4.9192482816671115,-4.866682607327587,-4.843851517300798,-4.8606597110981,-4.791615918661306,-4.664130013999951,-4.741622143280519,-4.8155768798144765,-4.906697569454461,-4.847893906277597,-4.888672098230042,-4.7478803696947125,-4.7999732231367895,-4.846612279143908,-4.88447509540191,-4.885819746427217,-4.922527510536031,-4.949120053960653,-4.980888432817026,-4.974886426613061,-4.809843052547462,-4.836234610067748,-4.699569703325516,-4.630217192135142,-4.652412073892835,-4.664403907052819,-4.638117036475761,-4.656340790893622,-4.673718301359568,-4.691655566300515,-4.709355976323282,-4.725203261090513,-4.545264353105209
nsc,Norfolk Southern Corp.,2017,10,25,Norfolk Southern Corp._20171025,-4.121759787516167,-4.022524405847984,-4.017593924889803,-4.1276395367591565,-4.21747503710783,-4.189412790098378,-4.2507897627175915,-4.29565535478954,-4.347047662508702,-4.3606145209349805,-4.393215103918021,-4.428736454895298,-4.460042979793424,-4.4908528951999145,-4.406688876531467,-4.401593773562212,-4.427908143074301,-4.40787197228964,-4.433472690459643,-4.452739054689347,-4.411714958200872,-4.372240439270739,-4.162998946634587,-4.168511617209248,-4.1777295019927365,-4.180225846774349,-4.189439923057043,-4.205910398105536,-4.208948433148879,-5.3017590792859455,-4.540571485524409,-4.626566532031545,-4.716770934716774,-4.76144236628816,-4.6087078660360214,-4.535436907377932,-4.458512940792064,-4.4701985180017285,-4.4968190329541375,-4.539652206589993,-4.566605760195129,-4.598392838181673,-4.605988534868865,-4.637972231160044,-4.660795713824092,-4.683882522070163,-4.709328710090051,-4.695398876750461,-4.714376853498835,-4.728980918097233,-4.750451576929375,-4.769811769290532,-4.646993068828494,-4.665682557649707,-4.6746892727606015,-4.681503360574018,-4.6990421240594085,-4.71599096539634
TSCO,Tractor Supply Company,2017,10,25,Tractor Supply Company_20171025,-4.354075539558053,-3.929197598653528,-3.9723607318655247,-3.918267591456277,-4.008913569576397,-4.029092969296127,-4.082448296700242,-4.114798799573139,-4.077613757357221,-4.087676869172879,-4.124782087555702,-4.06031882084888,-4.097320495151618,-4.106397358813469,-4.138319649650836,-4.133932676973199,-4.146296364305969,-4.131002386728293,-4.149456139533636,-4.159004406745846,-4.1820867070166985,-4.065319811683096,-4.067487385543353,-4.050030726743832,-4.065527129246441,-4.082840076099421,-4.1009994889086965,-4.058886238790767,-4.066127300113159,-5.880572298618836,-5.037400011582594,-5.1453884538993915,-5.174935087566854,-5.037443335077824,-5.1070082182576435,-4.976692957840261,-4.683097959268413,-4.653887500517653,-4.6908231798563484,-4.680727878967314,-4.585562246082549,-4.593132552561936,-4.5878922640504465,-4.598919406904474,-4.629231398770653,-4.641151828105106,-4.652415451385066,-4.6714909024819,-4.6918403626205265,-4.498569095330618,-4.509196072258064,-4.527680733981352,-4.534735835046307,-4.554332620688194,-4.465864074333825,-4.460161532049119,-4.475629813521672,-4.469268384858199
